Metrekare,Oda,Fiyat,Konum,Belde
250,4,60000,Ahmet Yesevi Mah.,Ataevler
232,5,100000,Ahmet Yesevi Mah.,Ataevler
135,4,35000,Cumhuriyet Mah.,Ataevler
160,4,24500,Beşevler Mh.,Beşevler
145,4,43000,Barış Mh.,Ataevler
202,4,40000,Beşevler Mh.,Beşevler
130,3,21000,Konak Mah.,Beşevler
165,4,50000,Cumhuriyet Mah.,Ataevler
22,1,12000,Fethiye Mah.,Ataevler
77,2,25000,Işıktepe Mh.,Ataevler
260,6,97500,Odunluk Mah.,Beşevler
70,2,30000,Ahmet Yesevi Mah.,Ataevler
145,4,45000,Beşevler Mh.,Beşevler
145,4,34000,Konak Mah.,Beşevler
165,4,45000,Çamlıca Mh.,Beşevler
125,4,18000,Konak Mah.,Beşevler
140,4,24500,Beşevler Mh.,Beşevler
105,2,40000,Odunluk Mah.,Beşevler
116,2,42000,Odunluk Mah.,Beşevler
60,2,20000,Çamlıca Mh.,Beşevler
240,5,75000,Balat Mah.,Ataevler
120,3,50000,Odunluk Mah.,Beşevler
130,3,52500,Balat Mah.,Ataevler
95,4,18000,Cumhuriyet Mah.,Ataevler
110,3,22000,Beşevler Mh.,Beşevler
110,3,9500,Balat Mah.,Ataevler
444,6,160000,Balat Mah.,Ataevler
130,4,35000,Beşevler Mh.,Beşevler
135,4,35000,Konak Mah.,Beşevler
140,4,29000,Konak Mah.,Beşevler
145,4,26250,Beşevler Mh.,Beşevler
200,4,38000,Fethiye Mah.,Ataevler
202,5,68000,Odunluk Mah.,Beşevler
155,4,53000,Konak Mah.,Beşevler
130,4,30000,Cumhuriyet Mah.,Ataevler
150,4,41000,Balat Mah.,Ataevler
145,4,32000,Beşevler Mh.,Beşevler
145,4,33000,Çamlıca Mh.,Beşevler
140,4,31000,Cumhuriyet Mah.,Ataevler
76,2,34000,Odunluk Mah.,Beşevler
190,5,65000,Barış Mh.,Ataevler
75,2,28000,Ahmet Yesevi Mah.,Ataevler
165,4,50000,Ahmet Yesevi Mah.,Ataevler
45,2,23500,Balat Mah.,Ataevler
125,3,35000,Balat Mah.,Ataevler
205,4,46500,Çamlıca Mh.,Beşevler
150,4,35000,Cumhuriyet Mah.,Ataevler
135,4,33500,Beşevler Mh.,Beşevler
280,6,50000,Ahmet Yesevi Mah.,Ataevler
220,5,61000,Ahmet Yesevi Mah.,Ataevler
160,4,32000,Cumhuriyet Mah.,Ataevler
150,4,35000,Konak Mah.,Beşevler
110,3,30000,Beşevler Mh.,Beşevler
170,4,57000,Konak Mah.,Beşevler
136,4,27500,Konak Mah.,Beşevler
114,3,25000,Odunluk Mah.,Beşevler
135,4,24000,Kültür Mh.,Beşevler
70,2,27000,Ahmet Yesevi Mah.,Ataevler
105,4,23000,Kültür Mh.,Beşevler
145,4,24000,Fethiye Mah.,Ataevler
145,4,34000,Cumhuriyet Mah.,Ataevler
190,5,51500,Barış Mh.,Ataevler
140,4,35000,Çamlıca Mh.,Beşevler
315,5,67500,Konak Mah.,Beşevler
100,3,33000,Balat Mah.,Ataevler
172,4,57500,Cumhuriyet Mah.,Ataevler
162,4,39000,Kültür Mh.,Beşevler
109,4,23000,Cumhuriyet Mah.,Ataevler
130,4,22000,Fethiye Mah.,Ataevler
120,3,22500,Fethiye Mah.,Ataevler
140,4,26000,Cumhuriyet Mah.,Ataevler
286,5,60000,Balat Mah.,Ataevler
205,4,57000,Balat Mah.,Ataevler
120,4,23000,Cumhuriyet Mah.,Ataevler
85,2,24500,Fethiye Mah.,Ataevler
170,4,25000,Konak Mah.,Beşevler
90,3,18000,Konak Mah.,Beşevler
150,4,32000,Cumhuriyet Mah.,Ataevler
140,4,33000,Barış Mh.,Ataevler
165,4,60000,Balat Mah.,Ataevler
135,4,26000,Barış Mh.,Ataevler
130,4,42000,Balat Mah.,Ataevler
185,5,36000,Cumhuriyet Mah.,Ataevler
150,4,68000,Fethiye Mah.,Ataevler
196,4,55000,Odunluk Mah.,Beşevler
172,4,39250,Cumhuriyet Mah.,Ataevler
205,4,50000,Çamlıca Mh.,Beşevler
100,3,23000,Fethiye Mah.,Ataevler
220,4,40000,Fethiye Mah.,Ataevler
100,3,22500,Barış Mh.,Ataevler
115,4,18000,Kültür Mh.,Beşevler
65,2,25000,Minareliçavuş Mh.,Ataevler
180,4,40000,Çamlıca Mh.,Beşevler
145,4,50000,Balat Mah.,Ataevler
270,6,68000,Cumhuriyet Mah.,Ataevler
95,3,17500,Konak Mah.,Beşevler
160,3,56000,Balat Mah.,Ataevler
139,4,40000,Kültür Mh.,Beşevler
109,2,45000,Odunluk Mah.,Beşevler
294,5,60000,Odunluk Mah.,Beşevler
60,2,22000,Beşevler Mh.,Beşevler
130,3,32500,Cumhuriyet Mah.,Ataevler
140,4,43000,Çamlıca Mh.,Beşevler
145,4,26000,Beşevler Mh.,Beşevler
80,2,35000,Çamlıca Mh.,Beşevler
165,4,29000,Beşevler Mh.,Beşevler
160,4,30000,Konak Mah.,Beşevler
80,2,30750,Çamlıca Mh.,Beşevler
80,3,23500,Odunluk Mah.,Beşevler
373,5,110000,Balat Mah.,Ataevler
150,4,37000,Çamlıca Mh.,Beşevler
85,3,24000,Çamlıca Mh.,Beşevler
550,6,150000,Gümüştepe Mh.,Beşevler
130,4,45000,Balat Mah.,Ataevler
92,2,35000,Ahmet Yesevi Mah.,Ataevler
75,2,35000,Balat Mah.,Ataevler
185,4,47500,Ahmet Yesevi Mah.,Ataevler
102,4,25500,Konak Mah.,Beşevler
130,3,28000,Balat Mah.,Ataevler
145,3,50000,Odunluk Mah.,Beşevler
130,4,26000,Beşevler Mh.,Beşevler
105,3,41000,Balat Mah.,Ataevler
92,2,30000,Ahmet Yesevi Mah.,Ataevler
145,4,23000,Beşevler Mh.,Beşevler
280,5,145000,Gümüştepe Mh.,Beşevler
140,4,33000,Konak Mah.,Beşevler
145,4,27500,Kültür Mh.,Beşevler
160,4,25000,Konak Mah.,Beşevler
250,4,45000,Çamlıca Mh.,Beşevler
170,5,45000,Odunluk Mah.,Beşevler
250,6,35000,Fethiye Mah.,Ataevler
140,4,32000,Çamlıca Mh.,Beşevler
175,6,32000,Fethiye Mah.,Ataevler
110,4,16500,Ahmet Yesevi Mah.,Ataevler
50,2,25000,Konak Mah.,Beşevler
140,4,29000,Konak Mah.,Beşevler
110,3,29000,Beşevler Mh.,Beşevler
160,3,52000,Odunluk Mah.,Beşevler
150,4,30000,Cumhuriyet Mah.,Ataevler
130,4,30000,Beşevler Mh.,Beşevler
160,4,46500,Balat Mah.,Ataevler
184,3,75000,Odunluk Mah.,Beşevler
200,5,85000,Balat Mah.,Ataevler
110,2,35000,Odunluk Mah.,Beşevler
85,2,42000,Odunluk Mah.,Beşevler
156,3,60000,Balat Mah.,Ataevler
235,5,95000,Balat Mah.,Ataevler
79,2,37500,Ahmet Yesevi Mah.,Ataevler
100,3,28500,Çamlıca Mh.,Beşevler
200,5,30000,Konak Mah.,Beşevler
93,2,31500,Ahmet Yesevi Mah.,Ataevler
135,4,26500,Barış Mh.,Ataevler
100,3,30000,Balat Mah.,Ataevler
204,4,38000,Cumhuriyet Mah.,Ataevler
150,4,30000,Konak Mah.,Beşevler
290,7,72000,Beşevler Mh.,Beşevler
79,2,26500,Işıktepe Mh.,Ataevler
165,4,35750,Konak Mah.,Beşevler
100,3,13000,Fethiye Mah.,Ataevler
50,2,30000,Konak Mah.,Beşevler
250,5,70000,Odunluk Mah.,Beşevler
200,5,35000,Cumhuriyet Mah.,Ataevler
135,4,56000,Ahmet Yesevi Mah.,Ataevler
170,4,30000,Beşevler Mh.,Beşevler
178,5,32000,Fethiye Mah.,Ataevler
250,4,60000,Ahmet Yesevi Mah.,Ataevler
232,5,100000,Ahmet Yesevi Mah.,Ataevler
135,4,35000,Cumhuriyet Mah.,Ataevler
160,4,24500,Beşevler Mh.,Beşevler
145,4,43000,Barış Mh.,Ataevler
202,4,40000,Beşevler Mh.,Beşevler
130,3,21000,Konak Mah.,Beşevler
165,4,50000,Cumhuriyet Mah.,Ataevler
22,1,12000,Fethiye Mah.,Ataevler
77,2,25000,Işıktepe Mh.,Ataevler
260,6,97500,Odunluk Mah.,Beşevler
70,2,30000,Ahmet Yesevi Mah.,Ataevler
145,4,34000,Konak Mah.,Beşevler
165,4,45000,Çamlıca Mh.,Beşevler
125,4,18000,Konak Mah.,Beşevler
140,4,24500,Beşevler Mh.,Beşevler
105,2,40000,Odunluk Mah.,Beşevler
116,2,42000,Odunluk Mah.,Beşevler
60,2,20000,Çamlıca Mh.,Beşevler
240,5,75000,Balat Mah.,Ataevler
120,3,50000,Odunluk Mah.,Beşevler
130,3,52500,Balat Mah.,Ataevler
95,4,18000,Cumhuriyet Mah.,Ataevler
110,3,22000,Beşevler Mh.,Beşevler
110,3,9500,Balat Mah.,Ataevler
444,6,160000,Balat Mah.,Ataevler
130,4,35000,Beşevler Mh.,Beşevler
135,4,35000,Konak Mah.,Beşevler
140,4,29000,Konak Mah.,Beşevler
145,4,26250,Beşevler Mh.,Beşevler
200,4,38000,Fethiye Mah.,Ataevler
202,5,68000,Odunluk Mah.,Beşevler
155,4,53000,Konak Mah.,Beşevler
130,4,30000,Cumhuriyet Mah.,Ataevler
150,4,41000,Balat Mah.,Ataevler
145,4,32000,Beşevler Mh.,Beşevler
145,4,33000,Çamlıca Mh.,Beşevler
140,4,31000,Cumhuriyet Mah.,Ataevler
76,2,34000,Odunluk Mah.,Beşevler
190,5,65000,Barış Mh.,Ataevler
75,2,28000,Ahmet Yesevi Mah.,Ataevler
165,4,50000,Ahmet Yesevi Mah.,Ataevler
45,2,23500,Balat Mah.,Ataevler
125,3,35000,Balat Mah.,Ataevler
205,4,46500,Çamlıca Mh.,Beşevler
150,4,35000,Cumhuriyet Mah.,Ataevler
135,4,33500,Beşevler Mh.,Beşevler
280,6,50000,Ahmet Yesevi Mah.,Ataevler
220,5,61000,Ahmet Yesevi Mah.,Ataevler
160,4,32000,Cumhuriyet Mah.,Ataevler
170,4,60000,Konak Mah.,Beşevler
150,4,35000,Konak Mah.,Beşevler
110,3,30000,Beşevler Mh.,Beşevler
170,4,57000,Konak Mah.,Beşevler
136,4,27500,Konak Mah.,Beşevler
114,3,25000,Odunluk Mah.,Beşevler
135,4,24000,Kültür Mh.,Beşevler
70,2,27000,Ahmet Yesevi Mah.,Ataevler
105,4,23000,Kültür Mh.,Beşevler
145,4,24000,Fethiye Mah.,Ataevler
145,4,34000,Cumhuriyet Mah.,Ataevler
190,5,51500,Barış Mh.,Ataevler
140,4,35000,Çamlıca Mh.,Beşevler
315,5,67500,Konak Mah.,Beşevler
100,3,33000,Balat Mah.,Ataevler
172,4,57500,Cumhuriyet Mah.,Ataevler
162,4,39000,Kültür Mh.,Beşevler
109,4,23000,Cumhuriyet Mah.,Ataevler
130,4,22000,Fethiye Mah.,Ataevler
120,3,22500,Fethiye Mah.,Ataevler
140,4,26000,Cumhuriyet Mah.,Ataevler
286,5,60000,Balat Mah.,Ataevler
205,4,57000,Balat Mah.,Ataevler
120,4,23000,Cumhuriyet Mah.,Ataevler
85,2,24500,Fethiye Mah.,Ataevler
170,4,25000,Konak Mah.,Beşevler
90,3,18000,Konak Mah.,Beşevler
150,4,32000,Cumhuriyet Mah.,Ataevler
140,4,33000,Barış Mh.,Ataevler
165,4,60000,Balat Mah.,Ataevler
135,4,26000,Barış Mh.,Ataevler
130,4,42000,Balat Mah.,Ataevler
185,5,36000,Cumhuriyet Mah.,Ataevler
196,4,55000,Odunluk Mah.,Beşevler
172,4,39250,Cumhuriyet Mah.,Ataevler
205,4,50000,Çamlıca Mh.,Beşevler
100,3,23000,Fethiye Mah.,Ataevler
220,4,40000,Fethiye Mah.,Ataevler
100,3,22500,Barış Mh.,Ataevler
115,4,18000,Kültür Mh.,Beşevler
65,2,25000,Minareliçavuş Mh.,Ataevler
180,4,40000,Çamlıca Mh.,Beşevler
145,4,50000,Balat Mah.,Ataevler
270,6,68000,Cumhuriyet Mah.,Ataevler
95,3,17500,Konak Mah.,Beşevler
160,3,56000,Balat Mah.,Ataevler
139,4,40000,Kültür Mh.,Beşevler
109,2,45000,Odunluk Mah.,Beşevler
294,5,60000,Odunluk Mah.,Beşevler
60,2,22000,Beşevler Mh.,Beşevler
160,4,32500,Konak Mah.,Beşevler
130,3,32500,Cumhuriyet Mah.,Ataevler
140,4,43000,Çamlıca Mh.,Beşevler
145,4,26000,Beşevler Mh.,Beşevler
165,4,29000,Beşevler Mh.,Beşevler
160,4,30000,Konak Mah.,Beşevler
80,2,30750,Çamlıca Mh.,Beşevler
80,3,23500,Odunluk Mah.,Beşevler
373,5,110000,Balat Mah.,Ataevler
150,4,37000,Çamlıca Mh.,Beşevler
85,3,24000,Çamlıca Mh.,Beşevler
550,6,150000,Gümüştepe Mh.,Beşevler
130,4,45000,Balat Mah.,Ataevler
92,2,35000,Ahmet Yesevi Mah.,Ataevler
75,2,35000,Balat Mah.,Ataevler
185,4,47500,Ahmet Yesevi Mah.,Ataevler
102,4,25500,Konak Mah.,Beşevler
130,3,28000,Balat Mah.,Ataevler
145,3,50000,Odunluk Mah.,Beşevler
130,4,26000,Beşevler Mh.,Beşevler
105,3,41000,Balat Mah.,Ataevler
92,2,30000,Ahmet Yesevi Mah.,Ataevler
145,4,23000,Beşevler Mh.,Beşevler
280,5,145000,Gümüştepe Mh.,Beşevler
140,4,33000,Konak Mah.,Beşevler
145,4,27500,Kültür Mh.,Beşevler
160,4,25000,Konak Mah.,Beşevler
250,4,45000,Çamlıca Mh.,Beşevler
170,5,45000,Odunluk Mah.,Beşevler
250,6,35000,Fethiye Mah.,Ataevler
140,4,32000,Çamlıca Mh.,Beşevler
175,6,32000,Fethiye Mah.,Ataevler
110,4,16500,Ahmet Yesevi Mah.,Ataevler
50,2,25000,Konak Mah.,Beşevler
140,4,29000,Konak Mah.,Beşevler
110,3,29000,Beşevler Mh.,Beşevler
160,3,52000,Odunluk Mah.,Beşevler
150,4,30000,Cumhuriyet Mah.,Ataevler
130,4,30000,Beşevler Mh.,Beşevler
160,4,46500,Balat Mah.,Ataevler
184,3,75000,Odunluk Mah.,Beşevler
200,5,85000,Balat Mah.,Ataevler
110,2,35000,Odunluk Mah.,Beşevler
85,2,42000,Odunluk Mah.,Beşevler
156,3,60000,Balat Mah.,Ataevler
235,5,95000,Balat Mah.,Ataevler
